,coeff,gen_first,hof_predictions,zero_pred,win
0,0.422090609,17.98862505,19.021011,19.74431308,TRUE
1,-0.608428443,13.0697109,12.6544891,12.10993436,FALSE
2,0.263197461,10.79360537,10.29585991,10.70521336,TRUE
3,0.284000525,16.16853824,12.30135516,12.30048875,FALSE
4,0.165713681,18.31550316,20.6841523,18.6163535,FALSE
5,0.274149525,8.924974162,9.054198913,11.66231471,TRUE
6,-0.847583118,26.330284,29.25152396,18.24163001,FALSE
7,-0.692189949,14.67580742,13.819064,10.8501597,FALSE
8,-0.634046208,14.97850709,16.78806302,13.39889545,FALSE
9,0.768572174,8.564124959,6.555199342,12.68445877,TRUE
10,-0.592687178,12.32382634,13.64433266,12.10652932,FALSE
11,0.617452601,27.46318097,21.05052201,29.21161507,TRUE
12,-0.101492399,12.51005558,10.07671578,11.78257969,TRUE
13,0.460666164,12.16978359,14.60810317,16.37875814,TRUE
14,0.301222233,20.94199987,16.3374181,17.28849525,TRUE
15,-0.389151089,9.953741427,9.090848761,8.35143485,FALSE
16,0.110901976,12.96160598,13.95006043,15.68607874,TRUE
17,0.449575169,21.44436491,13.64085719,21.88208815,TRUE
18,-0.531079254,16.43702781,27.33530004,21.05895732,FALSE
19,-0.091501098,7.78417799,6.512483742,6.484228478,FALSE
20,-0.102000975,16.81897932,16.92720024,19.09666256,TRUE
21,0.467650952,17.260639,23.25108948,27.18792558,TRUE
22,-0.258444785,6.638754011,12.31402182,10.64890492,FALSE
23,0.568614369,11.86552352,9.159274731,13.20565923,TRUE
24,0.585524366,8.604433859,7.83879724,8.604433859,TRUE
25,-0.538770069,25.36470474,20.83901627,15.52570605,FALSE
26,-0.351196401,10.82586602,8.489028652,8.196472368,FALSE
27,0.947133543,23.2240139,12.32610659,22.35284092,TRUE
28,-0.533445266,13.32098208,11.69021416,10.60602223,FALSE
29,0.488723739,9.090351088,13.20087519,14.52718948,TRUE
30,-0.19062151,7.976469263,8.532143722,6.754982387,FALSE
31,0.338912378,7.051413898,7.435192644,8.611951346,TRUE
32,0.752650711,10.48688529,11.5688042,13.02842056,TRUE
33,-0.114932534,13.92226658,11.82728787,11.1721415,FALSE
34,-0.497214696,10.87820112,11.7571533,11.19387514,FALSE
35,-0.283104288,15.53771924,27.77152595,23.7215303,FALSE
36,-0.832982165,9.19517266,13.52872764,9.550403141,FALSE
37,-0.508812155,15.79249584,12.78230952,9.89831811,FALSE
38,0.698036974,10.23033943,9.82989852,13.38136294,TRUE
39,0.184114415,11.69333242,10.80163078,9.763670462,FALSE
40,0.21297916,9.34537268,7.566724516,10.00985083,TRUE
41,0.780879031,6.624442791,7.071513704,7.529406895,TRUE
42,-0.304962533,8.599213366,9.694264836,6.713556397,FALSE
43,0.387998467,8.470743265,8.463825088,9.877036644,TRUE
44,0.894717729,13.68369146,10.93603363,15.82495911,TRUE
45,-0.198220463,8.570178654,7.342434427,6.876586562,FALSE
46,-0.915221623,11.70523134,13.15699677,10.42093497,FALSE
47,0.02743032,6.826696958,8.664065197,10.52392868,TRUE
48,0.381781562,13.95642973,9.013842189,9.493235601,TRUE
49,0.639062577,8.847287589,7.491619716,8.517614897,TRUE
50,-0.791621089,12.1579865,20.06258577,12.1579865,FALSE
51,0.276626457,8.795968843,7.838636213,10.89105944,TRUE
52,0.370824517,15.19486117,14.17763068,16.06962027,TRUE
53,-0.014343181,16.74060619,15.31796454,11.26625802,FALSE
54,-0.649760424,12.01235373,11.20671628,10.76999479,FALSE
55,0.95123688,7.906963048,7.292953694,9.802735046,TRUE
56,-0.76439359,9.751341155,12.43999227,10.59954745,FALSE
57,0.184511563,22.37461825,16.42169578,12.02273361,FALSE
58,-0.065742769,12.62693386,12.35907292,14.7103786,TRUE
59,-0.639285776,7.801939573,9.778633257,7.665342147,FALSE
60,-0.581011629,8.838627373,10.97583034,8.965737635,FALSE
61,0.236896168,19.50230518,20.3006564,25.2092633,TRUE
62,0.497318411,6.146107431,7.198283693,8.173174036,TRUE
63,-0.731621897,13.98193894,15.79006986,12.12636444,FALSE
64,-0.621670462,9.93576031,9.706577336,9.131991853,FALSE
65,-0.532192878,16.41188688,13.97120906,12.35649718,FALSE
66,0.414210511,20.54425316,19.81386365,24.73677876,TRUE
67,-0.898001882,9.903387554,24.25399478,17.6452853,FALSE
68,0.815476948,24.37538742,11.50921355,17.05691566,TRUE
69,0.592850033,5.014867006,5.502031043,6.462191842,TRUE
70,-0.55706412,13.86649666,15.16674951,14.17091757,FALSE
71,-0.221589889,17.21284395,14.71581412,13.56733022,FALSE
72,0.437885494,14.05025751,10.78488985,11.03600328,TRUE
73,-0.577995006,8.816596483,12.95670372,8.816596483,FALSE
74,0.51071686,7.5835796,7.507124765,7.5835796,TRUE
75,-0.386284468,8.945482059,7.260524965,7.279932279,TRUE
76,0.558635358,11.82201974,10.22937002,10.8782478,TRUE
77,0.355951092,14.60065059,12.40609956,11.62793232,FALSE
78,-0.465772071,24.24872642,18.22945657,17.10459364,FALSE
79,0.622328014,10.70852444,12.20861167,12.88409164,TRUE
80,-0.565834834,12.54710508,11.08282766,9.681450392,FALSE
81,-0.091322441,7.888351523,7.370623811,7.888351523,TRUE
82,-0.603003805,7.074550674,6.675719659,6.764863518,TRUE
83,0.121968257,13.10975291,14.54708389,10.58266421,FALSE
84,-0.267176476,7.127904747,10.21969514,7.286366492,FALSE
85,0.099339751,7.708350046,6.517172255,6.587992731,TRUE
86,-0.723004564,29.94311764,28.54422011,26.63958743,FALSE
87,0.232161654,8.34341691,9.898469167,11.83514073,TRUE
88,0.539139711,7.699655918,6.507099419,7.114811429,TRUE
89,0.368007407,22.59533726,20.73205482,24.73342881,TRUE
