,coeff,gen_first,hof_predictions,zero_pred
0,0.120905213,10.64183747,9.982524255,10.30166239
1,-0.330460345,10.6399928,10.66641706,9.574527882
2,0.796191174,30.9119478,14.55705393,26.5165047
3,-0.405213939,11.74295405,12.08307859,11.94271417
4,-0.156043975,8.918639564,10.37342421,10.81422322
5,0.026842556,12.84698069,11.66473101,12.8913808
6,-0.750798798,6.528309226,10.14712178,8.890277641
7,-0.036728745,11.12440748,9.28287076,8.747987861
8,0.551120295,9.214351339,8.507622572,9.658304313
9,-0.471300733,14.21856788,16.83852364,13.61800013
10,0.276280486,7.556254584,8.240519192,8.704090867
11,-0.472883281,16.12418465,17.24615516,14.83063026
12,0.7285021,16.68053297,10.92637713,20.28973607
13,-0.755879788,26.75017603,20.1824778,12.48000744
14,0.552507677,13.19257383,10.16666096,12.65778742
15,-0.03057802,8.539679704,9.439385599,10.95225225
16,-0.243815555,18.8695151,26.44404205,18.41178912
17,0.115216348,13.72075971,14.2714121,17.92170959
18,0.474114978,12.43272634,10.4514912,10.61913068
19,0.74236925,11.15920602,10.06417564,12.24450009
20,0.25414843,6.731826725,7.160624065,8.037162774
21,-0.630689232,14.58785523,12.25356298,8.948920991
22,-0.189456246,12.36646766,11.95762843,11.48151829
23,0.396641176,28.85651457,27.41936776,28.77389767
24,-0.450777017,5.515546546,10.61628622,6.833136538
25,-0.344233627,7.653604285,8.291713213,9.097866972
26,0.193548222,24.98182525,14.59342026,16.25804852
27,0.094139658,10.15844252,9.424479117,10.4305587
28,0.077815387,23.40067958,20.97723447,22.38097265
29,-0.516123644,7.743762934,10.31273371,8.513341127
30,0.658405636,14.6848876,13.13289499,16.09805948
31,-0.503918697,11.0221915,9.707932503,8.743110683
32,-0.49786759,7.864150863,9.213316028,7.503609669
33,-0.49459493,10.23552616,17.22169403,13.10684578
34,-0.337264068,7.571724677,8.451555594,7.928718215
35,0.023016372,22.37544795,22.95214741,21.77010777
36,0.303499539,14.97156456,10.08283211,9.560263705
37,0.369398237,21.54546142,15.33423396,17.06381943
38,-0.299797071,8.657920409,8.612906309,6.565821296
39,-0.455308167,19.69286551,18.10314411,14.59772585
40,-0.352555474,21.37391016,18.49931573,16.78739449
41,0.762417933,8.925394816,8.454232543,11.6051893
42,0.097361445,13.30478847,13.41305203,17.0333467
43,0.292375117,12.42546041,11.54192182,11.89078952
44,-0.810151424,6.323752206,7.66212167,5.788533245
45,-0.271250197,30.98662903,29.03074117,28.08113663
46,0.456658469,10.86661036,9.646506365,11.89160748
47,-0.185717634,9.982155256,8.101429766,7.845647405
48,-0.134843547,28.81650781,27.07020084,27.88625884
49,0.118348994,8.162475023,10.80101729,11.13041038
50,0.2330192,23.31950222,22.69323795,23.37481474
51,0.449745061,27.7593426,10.99172334,13.28384615
52,0.267439149,26.51524766,20.13375938,26.81003684
53,0.093356634,8.479974367,7.828615574,8.420815388
54,0.479532466,18.29819101,27.25676804,32.83888135
55,0.573251787,17.58741319,16.72436889,17.58741319
56,-0.6177106,7.610927897,7.788229134,6.661841672
57,-0.646892432,12.79926202,16.88149334,13.55422401
58,0.267776166,18.2471858,11.54431723,10.45860013
59,-0.700771856,12.32863994,18.97379701,14.4047535
60,0.597278441,16.82448082,12.28403889,15.21094751
61,0.16929392,10.62505361,11.31100106,11.39140192
62,-0.171053554,11.31936582,10.54402938,8.996529251
63,0.31068642,7.38248057,8.068892722,8.04487674
64,-0.548918469,20.50757117,26.48008854,24.73513241
65,-0.377033596,13.45253272,10.43490881,10.1193863
66,0.433431611,17.78351849,9.106335447,9.507228531
67,0.508573251,25.27357611,26.25336148,27.98747937
68,-0.521095467,58.04048449,59.34395304,52.54763152
69,-0.032099786,13.3644129,11.60478006,12.05458332
70,0.279161001,14.47469297,11.92250419,15.05901487
71,0.540087889,30.92568079,26.24137772,43.04270855
72,0.656568042,9.35257485,9.284653383,9.063869276
73,-0.464072676,9.281473072,11.90734952,9.698678896
74,-0.758244139,7.673993643,7.197051443,6.805552478
75,0.670063783,24.59990331,12.17515257,12.66540501
76,-0.1481322,9.69344795,9.37495292,9.69344795
77,0.706023649,16.79250517,12.41450398,12.38972354
78,0.059863527,8.587740086,7.022037231,7.327759148
79,-0.095609462,18.19178305,18.59925972,18.62034528
80,-0.111591613,15.81681295,18.25153494,15.96134621
